Semestre,cc_per_source_loc,Temporal cut
2025.2,1.1631663974151858,T1
2026.1,,T1
2025.2,,T1
2026.1,1.0651828298887123,T1
2025.2,,T1
2026.1,1.5357908272610372,T1
2025.2,1.0,T1
2026.1,1.053582554517134,T1
2025.2,,T1
2026.1,7.00945179584121,T1
2025.2,4.814,T1
2025.2,,T1
2025.2,,T1
2025.2,,T1
2025.2,,T2
2026.1,1.0,T2
2025.2,1.8951994590939825,T2
2026.1,1.2746258266620258,T2
2025.2,,T2
2026.1,0.7590882862088864,T2
2025.2,1.8307174887892377,T2
2026.1,,T2
2025.2,,T2
2026.1,0.47113616864811864,T2
2025.2,1.2186363636363637,T2
2025.2,1.1268709907341412,T2
2025.2,7.7954337899543376,T2
2025.2,1.87015503875969,T2
2025.2,0.8450912678835718,T3
2026.1,0.7180781044317683,T3
2025.2,4.409897879025923,T3
2026.1,1.1052092478782558,T3
2025.2,1.0256652708361476,T3
2026.1,0.05470276304772537,T3
2025.2,0.9069867431028306,T3
2026.1,3.7339854238588415,T3
2025.2,1.0,T3
2026.1,0.664006456241033,T3
2025.2,0.4970620795367453,T3
2025.2,0.12619222303741745,T3
2025.2,2.1033016314853477,T3
2025.2,0.4978331527627302,T3
