Semestre,pi_file_count_t1,cc_per_source_loc_t3,cc_total_t3,repo_source_loc_t3
2025.2,4,0.8450912678835718,1713.0,2027.0
2026.1,1,0.7180781044317683,6546.0,9116.0
2025.2,0,4.409897879025923,28069.0,6365.0
2026.1,5,1.1052092478782558,7553.0,6834.0
2025.2,0,1.0256652708361476,15186.0,14806.0
2026.1,7,0.05470276304772537,196.0,3583.0
2025.2,8,0.9069867431028306,12657.0,13955.0
2026.1,3,3.7339854238588415,19469.0,5214.0
2025.2,0,1.0,2482.0,2482.0
2026.1,4,0.664006456241033,7405.0,11152.0
2025.2,3,0.4970620795367453,5837.0,11743.0
2025.2,0,0.12619222303741745,172.0,1363.0
2025.2,1,2.1033016314853477,27202.0,12933.0
2025.2,0,0.4978331527627302,1838.0,3692.0
