analysis_id,predictor,outcome,removed_ID_Equipe,removed_Semestre,n_remaining,spearman_rho,spearman_p_exploratory
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_02,2025.2,11,-0.0755150718576594,0.8253497906485028
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_02,2026.1,11,-0.1889481174851974,0.5779278216328014
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_03,2026.1,11,-0.2207042351384174,0.5143071921721074
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_04,2025.2,11,0.1336462294407494,0.6952412193060609
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_04,2026.1,11,-0.0645188693851893,0.8505137906021057
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_05,2026.1,11,-0.1889481174851974,0.5779278216328014
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_07,2025.2,11,-0.082952832066672,0.8084109169606124
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_08,2025.2,11,0.1369877294931669,0.6879488032535689
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_09,2025.2,11,-0.0551737259068245,0.8719991803538497
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,TEAM_10,2025.2,11,-0.057208387770954,0.8673142106703108
