ID_Equipe,Semestre,temporal_marker,m5_semester_coverage_status,m5_observed_semester,m5_unavailable_semesters,m5_analysis_scope_note,friction_marker_density_per_1k_tokens,friction_marker_n,token_n,transcript_chunk_n,source_session_n,alignment,handoff,integration,blocker,rework,clean_churn,all_churn,clean_unique_file_n,clean_touching_commit_n,evaluator_score_composite,project_progress_mean,scope_applicability_mean,technical_complexity_mean,engagement_participation_mean,clean_rework_churn_t3,clean_deferred_churn_t3,clean_total_churn_t3,baseline_eligible_for_rework_t3,clean_rework_ratio_t3,prior_clean_path_n,planning_artifact_present_t1,planning_scope_log1p_t1,evaluator_git_match_status,m4_measurement_status,m8_measurement_status,m6a_measurement_status,m5_measurement_status,m5_analysis_level
TEAM_04,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,4899.0,13962.0,47,8,2.3125,3.5,1.875,1.875,2.0,860.0,11797.0,12657.0,True,0.0679465908193094,47,True,5.4510384535657,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_04,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,12657.0,25088.0,108,15,2.4583333333333335,4.0,2.0,2.0,1.8333333333333333,860.0,11797.0,12657.0,True,0.0679465908193094,47,True,5.4510384535657,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,1.875,2.375,1.875,1.75,1.5,0.0,2482.0,2482.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,0.0,0.0,0,0,2.28125,4.0,2.0,1.75,1.375,0.0,2482.0,2482.0,False,0.0,0,False,0.0,no_observed_activity,no_clean_change_observed,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_05,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,2482.0,7110.0,28,1,2.28125,3.75,2.0,1.875,1.5,0.0,2482.0,2482.0,False,0.0,0,False,0.0,matched,available,baseline_not_observed,available,available,global_transcript_corpus_by_temporal_marker
TEAM_07,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,2407.0,2433.0,41,6,2.40625,3.875,1.875,1.875,2.0,0.0,5837.0,5837.0,True,0.0,129,True,2.4849066497880004,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_07,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,10724.0,11802.0,98,17,2.125,3.125,1.875,1.75,1.75,0.0,5837.0,5837.0,True,0.0,129,True,2.4849066497880004,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_07,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,5837.0,11762127.0,98,19,2.5,4.0,2.0,2.0,2.0,0.0,5837.0,5837.0,True,0.0,129,True,2.4849066497880004,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_08,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,2.34375,3.75,2.0,1.75,1.875,172.0,0.0,172.0,True,1.0,32,False,0.0,no_observed_activity,no_clean_change_observed,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_08,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,1581.0,5706.0,32,11,2.3125,3.875,1.875,1.625,1.875,172.0,0.0,172.0,True,1.0,32,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_08,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,172.0,304.0,1,1,2.416666666666667,3.8333333333333335,2.0,1.8333333333333333,2.0,172.0,0.0,172.0,True,1.0,32,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_09,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,209.0,0,0,1.875,2.625,1.5,1.375,2.0,15518.0,11684.0,27202.0,True,0.5704727593559297,161,True,1.0986122886681096,matched,no_clean_change_observed,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_09,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,8536.0,132503.0,161,21,2.0625,3.0,1.75,1.5,2.0,15518.0,11684.0,27202.0,True,0.5704727593559297,161,True,1.0986122886681096,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_09,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,27202.0,134869.0,171,59,2.2083333333333335,3.5,1.8333333333333333,1.6666666666666667,1.8333333333333333,15518.0,11684.0,27202.0,True,0.5704727593559297,161,True,1.0986122886681096,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_10,2025.2,T1,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,0.5151098901098901,12,23296,35,2,5,2,2,2,1,0.0,0.0,0,0,1.375,2.125,1.25,1.0,1.125,825.0,1013.0,1838.0,True,0.4488574537540805,26,False,0.0,no_observed_activity,no_clean_change_observed,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_10,2025.2,T2,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.1319568179436117,54,47705,37,2,19,3,20,6,6,4825.0,29881.0,26,6,2.40625,4.0,2.0,1.75,1.875,825.0,1013.0,1838.0,True,0.4488574537540805,26,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
TEAM_10,2025.2,T3,available_transcript_corpus_2025_2,2025.2,2026.1=unavailable_not_measured,M5 is global transcript-corpus evidence by temporal marker for 2025.2; it is not a team-level measure.,1.2867114871168013,40,31087,28,2,10,5,14,7,4,1838.0,2202.0,14,3,2.4375,4.0,2.0,2.0,1.75,825.0,1013.0,1838.0,True,0.4488574537540805,26,False,0.0,matched,available,baseline_eligible,available,available,global_transcript_corpus_by_temporal_marker
