removed_team_semester,Planning scope → T3 score,Planning scope → score delta,Planning scope → final-7 commits,Planning scope → final-7 clean churn,Final-7 commits → T3 score,Final-7 clean churn → T3 score,Final-7 commits → score delta,Final-7 clean churn → score delta,Regularity index → score delta,Technical complexity → rework churn,Technical complexity → rework ratio,Planning scope → rework churn,Planning scope → rework ratio
TEAM_01 · 2025.2,0.10501971701647925,0.02471843860205114,-0.04699711905728343,-0.026721705640830873,0.04413121131139697,-0.03796729674425303,0.11308115192776791,0.05360978628900137,-0.15530196213683634,-0.11571207977802944,-0.1013500336920331,0.006724060127375586,0.03242122750998687
TEAM_01 · 2026.1,0.06027037320695974,0.03483117616332984,0.010045604442128458,0.007682006718046808,-0.0020513880589742017,-0.0953485704898836,0.05798473319498548,-0.0014866324437810552,0.07028284549426284,-0.07842341690893562,-0.0004698463086477492,0.04037673031948252,0.02328968759432786
TEAM_02 · 2025.2,-0.10222980388417079,-0.2023124679853399,0.05514422188800844,0.08380034099350195,0.04413121131139697,0.07805524538954733,0.15164864504071557,0.17757672843776168,0.031768366142611804,0.14547633042315888,-0.08616345689966283,0.19309199435993585,-0.015442900325448525
TEAM_02 · 2026.1,-0.09971243038657897,0.09273440438989293,0.05502682962447922,0.0384602615725175,-0.0020513880589742017,0.023272232003204607,-0.04118882052402276,-0.03178966274681133,0.042772503100226344,-0.11282446271662466,-0.1020900197080675,-0.04734580553298989,-0.12887594595298657
TEAM_03 · 2025.2,0.0042194551982990824,-0.04587262845657569,0.12237802537187034,0.12033560995303566,-0.03240075808528642,0.0012005163547372244,0.01355543536586079,0.02836199419099278,-0.012248181687846582,-0.021679294834776708,0.0,-0.10646742428630585,0.0
TEAM_03 · 2026.1,-0.03727840515929948,-0.014957541440856592,0.05502682962447922,0.049796255870491135,-0.01584450462793796,-0.0015553778209301816,-0.021905073967548955,0.02606157692261013,-0.01775025016665388,0.013312705244901912,-0.12130310826868668,0.023798754546438317,-0.16063206360620658
TEAM_04 · 2025.2,-0.1280915327626151,-0.08970401020488819,-0.08667309910019116,-0.12024365859911335,-0.03791349113827991,-0.06776233735195614,0.008053366887053492,-0.023907656357676554,0.026946966250966486,-0.044022371101246516,0.13986277410007478,0.006724060127375586,0.19371840097296028
TEAM_04 · 2026.1,0.07091765930136099,-0.05746752005825767,-0.04699711905728343,-0.05222769281127154,0.03860632835264455,0.07805524538954733,-0.07424667176369218,-0.07586679773303723,0.07028284549426284,0.043687765001877016,-0.03356254463800294,-0.004659069485332956,-0.004446697852978479
TEAM_05 · 2025.2,-0.04900517434293586,0.07145725118999743,0.12237802537187034,0.12033560995303566,0.02277212805797235,0.05085611388367017,-0.08548179725267052,-0.08718144386396043,0.031768366142611804,-0.021679294834776708,0.0,-0.10646742428630585,0.0
TEAM_05 · 2026.1,0.0567084685867284,0.10973839583685337,0.060694826773466076,0.0384602615725175,-0.06360400638427488,-0.02139264786799583,-0.10179488113008336,-0.04831858836664604,0.09779318788829933,0.07871623720707996,0.011394205294275185,-0.04734580553298989,-0.12887594595298657
TEAM_07 · 2025.2,0.035088305899592664,0.013382444304077507,-0.052665116206270235,-0.029555704215324274,0.06967281809963721,0.08396194490664505,-0.05220810427057923,-0.03178966274681133,-0.0012440447302319857,0.06861197447847642,0.1785752211093775,0.050795383821428286,-0.02288066053446114
TEAM_08 · 2025.2,0.024936851233451574,-0.07101474552369849,-0.2046576544722606,-0.20673078955991725,-0.02963762119690172,-0.0015553778209301816,-0.05220810427057923,-0.04280894649336786,-0.048011626800093965,-0.04096437616069676,0.07104103177134186,-0.09303680248733912,0.1970599010253778
TEAM_09 · 2025.2,0.0010198081935355041,0.015232094195336804,-0.006933653913272164,0.013341759503180395,0.01374435503825866,-0.03244241378550061,0.008053366887053492,-0.029409724836483853,0.0049689442729445865,0.14547633042315888,0.044427168919170694,0.08584301961751406,0.004898445625386341
TEAM_10 · 2025.2,0.046238899572958264,0.12453505388725672,-0.02028212931335993,-0.022355264401016595,0.002694589120753932,-0.02139264786799583,0.05798473319498548,0.05360978628900137,-0.11128541430637784,-0.044022371101246516,-0.0004698463086477492,-0.020102011134112197,0.0028637837612567885
