ID_Equipe,Semestre,phase,phase_order,period_start,period_end,commit_n,clean_churn,active_day_n,active_author_n,score_trajectory_group,planning_scope_tier,evaluator_score_t3,delta_score_t3_minus_t1,team_total_commit_n,team_total_clean_churn,commit_share_pct,clean_churn_share_pct
TEAM_04,2025.2,t2_to_t3_excluding_final7,3,2025-11-14 13:19:41+00:00,2025-11-28 11:53:02+00:00,4,1646.0,3,2,improved,high_repository_visible_planning,2.458333333333333,0.3333333333333335,51,17649.0,7.8431372549019605,9.326307439514986
TEAM_04,2025.2,final7_pre_t3,4,2025-11-28 11:53:02+00:00,2025-12-05 11:53:02+00:00,27,10971.0,5,5,improved,high_repository_visible_planning,2.458333333333333,0.3333333333333335,51,17649.0,52.94117647058823,62.16216216216216
TEAM_04,2026.1,pre_t1,1,2026-02-28 16:02:40+00:00,2026-04-24 16:50:07+00:00,10,1691.0,6,2,improved,high_repository_visible_planning,1.9583333333333333,0.5416666666666665,24,21160.0,41.666666666666664,7.991493383742911
TEAM_04,2026.1,t1_to_t2,2,2026-04-24 16:50:07+00:00,2026-05-22 14:18:11+00:00,0,0.0,0,0,improved,high_repository_visible_planning,1.9583333333333333,0.5416666666666665,24,21160.0,0.0,0.0
TEAM_04,2026.1,t2_to_t3_excluding_final7,3,2026-05-22 14:18:11+00:00,2026-06-12 13:53:17+00:00,0,0.0,0,0,improved,high_repository_visible_planning,1.9583333333333333,0.5416666666666665,24,21160.0,0.0,0.0
TEAM_04,2026.1,final7_pre_t3,4,2026-06-12 13:53:17+00:00,2026-06-19 13:53:17+00:00,14,19469.0,4,2,improved,high_repository_visible_planning,1.9583333333333333,0.5416666666666665,24,21160.0,58.333333333333336,92.0085066162571
TEAM_05,2025.2,pre_t1,1,,2025-10-24 14:16:59+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.28125,0.40625,1,2482.0,0.0,0.0
TEAM_05,2025.2,t1_to_t2,2,2025-10-24 14:16:59+00:00,2025-11-21 14:14:08+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.28125,0.40625,1,2482.0,0.0,0.0
TEAM_05,2025.2,t2_to_t3_excluding_final7,3,2025-11-21 14:14:08+00:00,2025-12-05 13:30:13+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.28125,0.40625,1,2482.0,0.0,0.0
TEAM_05,2025.2,final7_pre_t3,4,2025-12-05 13:30:13+00:00,2025-12-12 13:30:13+00:00,1,2482.0,1,1,improved,lower_repository_visible_planning,2.28125,0.40625,1,2482.0,100.0,100.0
TEAM_05,2026.1,pre_t1,1,2026-03-16 17:05:09+00:00,2026-04-24 13:33:05+00:00,40,11124.0,11,8,declined,high_repository_visible_planning,2.291666666666667,-0.1249999999999995,121,22373.0,33.05785123966942,49.720645420819736
TEAM_05,2026.1,t1_to_t2,2,2026-04-24 13:33:05+00:00,2026-05-22 13:47:14+00:00,42,5776.0,11,8,declined,high_repository_visible_planning,2.291666666666667,-0.1249999999999995,121,22373.0,34.710743801652896,25.816832789523087
TEAM_05,2026.1,t2_to_t3_excluding_final7,3,2026-05-22 13:47:14+00:00,2026-06-12 12:53:17+00:00,25,3219.0,9,7,declined,high_repository_visible_planning,2.291666666666667,-0.1249999999999995,121,22373.0,20.66115702479339,14.38787824610021
TEAM_05,2026.1,final7_pre_t3,4,2026-06-12 12:53:17+00:00,2026-06-19 12:53:17+00:00,14,2254.0,4,4,declined,high_repository_visible_planning,2.291666666666667,-0.1249999999999995,121,22373.0,11.570247933884298,10.074643543556967
TEAM_07,2025.2,pre_t1,1,2025-10-01 17:45:44+00:00,2025-10-24 12:28:39+00:00,37,13131.0,8,6,stable,high_repository_visible_planning,2.5,0.09375,73,18968.0,50.68493150684932,69.22711935892029
TEAM_07,2025.2,t1_to_t2,2,2025-10-24 12:28:39+00:00,2025-11-21 12:20:58+00:00,30,4629.0,5,4,stable,high_repository_visible_planning,2.5,0.09375,73,18968.0,41.0958904109589,24.404259805989035
TEAM_07,2025.2,t2_to_t3_excluding_final7,3,2025-11-21 12:20:58+00:00,2025-12-05 12:44:15+00:00,0,0.0,0,0,stable,high_repository_visible_planning,2.5,0.09375,73,18968.0,0.0,0.0
TEAM_07,2025.2,final7_pre_t3,4,2025-12-05 12:44:15+00:00,2025-12-12 12:44:15+00:00,6,1208.0,3,3,stable,high_repository_visible_planning,2.5,0.09375,73,18968.0,8.219178082191782,6.368620835090679
TEAM_08,2025.2,pre_t1,1,,2025-10-17 12:41:16+00:00,0,0.0,0,0,stable,lower_repository_visible_planning,2.416666666666667,0.0729166666666669,26,1753.0,0.0,0.0
TEAM_08,2025.2,t1_to_t2,2,2025-10-17 12:41:16+00:00,2025-11-14 13:48:47+00:00,23,1581.0,6,8,stable,lower_repository_visible_planning,2.416666666666667,0.0729166666666669,26,1753.0,88.46153846153847,90.18824871648603
TEAM_08,2025.2,t2_to_t3_excluding_final7,3,2025-11-14 13:48:47+00:00,2025-11-28 12:20:15+00:00,2,172.0,1,2,stable,lower_repository_visible_planning,2.416666666666667,0.0729166666666669,26,1753.0,7.6923076923076925,9.811751283513976
TEAM_08,2025.2,final7_pre_t3,4,2025-11-28 12:20:15+00:00,2025-12-05 12:20:15+00:00,1,0.0,1,1,stable,lower_repository_visible_planning,2.416666666666667,0.0729166666666669,26,1753.0,3.8461538461538463,0.0
TEAM_09,2025.2,pre_t1,1,2025-09-25 18:02:24+00:00,2025-10-17 13:19:16+00:00,1,0.0,1,1,improved,lower_repository_visible_planning,2.208333333333333,0.3333333333333335,107,35738.0,0.9345794392523364,0.0
TEAM_09,2025.2,t1_to_t2,2,2025-10-17 13:19:16+00:00,2025-11-21 13:45:51+00:00,54,26194.0,14,5,improved,lower_repository_visible_planning,2.208333333333333,0.3333333333333335,107,35738.0,50.467289719626166,73.29453243046618
TEAM_09,2025.2,t2_to_t3_excluding_final7,3,2025-11-21 13:45:51+00:00,2025-11-28 13:21:51+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.208333333333333,0.3333333333333335,107,35738.0,0.0,0.0
TEAM_09,2025.2,final7_pre_t3,4,2025-11-28 13:21:51+00:00,2025-12-05 13:21:51+00:00,52,9544.0,4,5,improved,lower_repository_visible_planning,2.208333333333333,0.3333333333333335,107,35738.0,48.598130841121495,26.70546756953383
TEAM_10,2025.2,pre_t1,1,,2025-10-17 14:09:05+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.4375,1.0625,18,6663.0,0.0,0.0
TEAM_10,2025.2,t1_to_t2,2,2025-10-17 14:09:05+00:00,2025-11-14 14:09:45+00:00,11,4825.0,4,4,improved,lower_repository_visible_planning,2.4375,1.0625,18,6663.0,61.111111111111114,72.41482815548552
TEAM_10,2025.2,t2_to_t3_excluding_final7,3,2025-11-14 14:09:45+00:00,2025-11-28 13:38:16+00:00,0,0.0,0,0,improved,lower_repository_visible_planning,2.4375,1.0625,18,6663.0,0.0,0.0
TEAM_10,2025.2,final7_pre_t3,4,2025-11-28 13:38:16+00:00,2025-12-05 13:38:16+00:00,7,1838.0,2,3,improved,lower_repository_visible_planning,2.4375,1.0625,18,6663.0,38.888888888888886,27.585171844514484
