ID_Equipe,Semestre,window_end_day,rolling_7d_value,tier,evaluator_score_t3,planning_artifact_present_t1,planning_scope_log1p_t1,team_full_period_rolling_max,team_full_period_rolling_intensity_pct,activity_metric
TEAM_01,2025.2,-68,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-67,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-66,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-65,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-64,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-63,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-62,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-61,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-60,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-59,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-58,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-57,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-56,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-55,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-54,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-53,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-52,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-51,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-50,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-49,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-48,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-47,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-46,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-45,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-44,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-43,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-42,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-41,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-40,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-39,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-38,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-37,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-36,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-35,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-34,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-33,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-32,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-31,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-30,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-29,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-28,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-27,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-26,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-25,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-24,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-23,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-22,0.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,0.0,clean_source_or_test_changed_lines
TEAM_01,2025.2,-21,376.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,28.122662677636498,clean_source_or_test_changed_lines
TEAM_01,2025.2,-20,376.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,28.122662677636498,clean_source_or_test_changed_lines
TEAM_01,2025.2,-19,376.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,28.122662677636498,clean_source_or_test_changed_lines
TEAM_01,2025.2,-18,376.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,28.122662677636498,clean_source_or_test_changed_lines
TEAM_01,2025.2,-17,376.0,Lower evaluator score / weaker planning,1.5,True,4.143134726391533,1337.0,28.122662677636498,clean_source_or_test_changed_lines
