relationship,rho_without_complexity_stratification,rho_within_low_complexity,rho_within_high_complexity,interpretation_note,relationship_label,predictor,outcome,complexity_stratification_variable,complexity_median,low_complexity_rule,high_complexity_rule,n_without_complexity_stratification,n_within_low_complexity,n_within_high_complexity,filter_column,method,minimum_n_for_rho
planning_scope_to_clean_rework_churn,0.3006204394157542,0.4465942614792463,0.2571428571428572,"Direction is preserved across median technical-complexity strata (low=+0.45, high=+0.26, |delta|=0.19). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Planning scope T1 -> clean rework churn T3,planning_scope_log1p_t1,clean_rework_churn_t3,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,14,8,6,,spearman_rho_with_median_stratification,4
planning_scope_to_clean_rework_ratio,-0.06007217153221088,-0.28988551782622424,0.028571428571428574,"Restricted to baseline_eligible_for_rework_t3=True cases. Direction differs after median technical-complexity stratification (low=-0.29, high=+0.03). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Planning scope T1 -> clean rework ratio T3,planning_scope_log1p_t1,clean_rework_ratio_t3,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,12,6,6,baseline_eligible_for_rework_t3,spearman_rho_with_median_stratification,4
planning_scope_to_final7_commit_concentration,-0.2590747269880046,-0.22967704876075523,0.08571428571428573,"Direction differs after median technical-complexity stratification (low=-0.23, high=+0.09). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Planning scope T1 -> final-7 commit concentration,planning_scope_log1p_t1,final7_commit_share_pct,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,14,8,6,,spearman_rho_with_median_stratification,4
planning_scope_to_final7_clean_churn_concentration,-0.27935014040445716,-0.31899590105660447,0.08571428571428573,"Direction differs after median technical-complexity stratification (low=-0.32, high=+0.09). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Planning scope T1 -> final-7 clean churn concentration,planning_scope_log1p_t1,final7_clean_churn_share_pct,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,14,8,6,,spearman_rho_with_median_stratification,4
final7_commit_concentration_to_clean_rework_churn,-0.06850866370359097,-0.542168674698795,0.48571428571428577,"Direction differs after median technical-complexity stratification (low=-0.54, high=+0.49). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Final-7 commit concentration -> clean rework churn T3,final7_commit_share_pct,clean_rework_churn_t3,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,14,8,6,,spearman_rho_with_median_stratification,4
final7_clean_churn_concentration_to_clean_rework_churn,-0.033149353404963375,-0.4698795180722891,0.5428571428571429,"Direction differs after median technical-complexity stratification (low=-0.47, high=+0.54). Descriptive small-n sensitivity summary; no regression or causal adjustment.",Final-7 clean churn concentration -> clean rework churn T3,final7_clean_churn_share_pct,clean_rework_churn_t3,technical_complexity_mean_t3,1.875,technical_complexity_mean_t3 <= median,technical_complexity_mean_t3 > median,14,8,6,,spearman_rho_with_median_stratification,4
