figure_id,plot_id,anonymized_team_id,semester,x,x_value,y,y_value,x_scale,y_scale,transformation
scope_vs_late_instability,scope_vs_planning_artifact_activity_t3,TEAM_05,2026.1,scope_applicability_mean_t3,2.0,planning_artifact_activity_t3,5.0,linear,log,complete_case_pair
scope_vs_late_instability,scope_vs_planning_artifact_activity_t3,TEAM_06,2025.2,scope_applicability_mean_t3,2.0,planning_artifact_activity_t3,71.0,linear,log,complete_case_pair
scope_vs_late_instability,scope_vs_planning_artifact_activity_t3,TEAM_07,2025.2,scope_applicability_mean_t3,2.0,planning_artifact_activity_t3,3.0,linear,log,complete_case_pair
scope_vs_late_instability,scope_vs_planning_artifact_activity_t3,TEAM_08,2025.2,scope_applicability_mean_t3,1.8333333333333333,planning_artifact_activity_t3,13.0,linear,log,complete_case_pair
scope_vs_late_instability,scope_vs_planning_artifact_activity_t3,TEAM_09,2025.2,scope_applicability_mean_t3,2.0,planning_artifact_activity_t3,5.0,linear,log,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_01,2025.2,scope_applicability_mean_t3,1.125,commits_per_author_t3,12.0,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_01,2026.1,scope_applicability_mean_t3,2.0,commits_per_author_t3,1.0,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_02,2025.2,scope_applicability_mean_t3,1.6666666666666667,commits_per_author_t3,32.8,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_02,2026.1,scope_applicability_mean_t3,2.0,commits_per_author_t3,4.222222222222222,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_03,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,3.0,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_03,2026.1,scope_applicability_mean_t3,2.0,commits_per_author_t3,4.25,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_04,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,8.6,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_04,2026.1,scope_applicability_mean_t3,1.6666666666666667,commits_per_author_t3,8.5,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_05,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,1.0,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_05,2026.1,scope_applicability_mean_t3,2.0,commits_per_author_t3,4.7,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_06,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,7.2,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_07,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,1.0,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_08,2025.2,scope_applicability_mean_t3,1.8333333333333333,commits_per_author_t3,15.4,linear,linear,complete_case_pair
scope_vs_late_instability,scope_vs_commits_per_author_t3,TEAM_09,2025.2,scope_applicability_mean_t3,2.0,commits_per_author_t3,2.3333333333333335,linear,linear,complete_case_pair
