figure_id,metric_id,metric_title,source_artifact,temporal_marker,series,semester,aggregation,value_raw,baseline_t1,value_relative_t1,n_valid,transformation
temporal_escalation_panel,cc_commit_n,Commit count,temporal_escalation_metrics,T3,semester,2026.1,semester_mean,24.0,17.4,1.3793103448275863,5,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T1,global,,source_mean,1.625,1.625,1.0,14,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T2,global,,source_mean,1.6101190476190477,1.625,0.9908424908424909,14,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T3,global,,source_mean,1.8363095238095237,1.625,1.13003663003663,14,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T1,semester,2025.2,semester_mean,1.5833333333333333,1.5833333333333333,1.0,9,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T2,semester,2025.2,semester_mean,1.6527777777777777,1.5833333333333333,1.043859649122807,9,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T3,semester,2025.2,semester_mean,1.7824074074074074,1.5833333333333333,1.1257309941520468,9,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T1,semester,2026.1,semester_mean,1.7,1.7,1.0,5,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T2,semester,2026.1,semester_mean,1.5333333333333332,1.7,0.9019607843137254,5,relative_to_t1_baseline
temporal_escalation_panel,technical_complexity_mean,Technical complexity,temporal_escalation_metrics,T3,semester,2026.1,semester_mean,1.9333333333333331,1.7,1.1372549019607843,5,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T1,global,,all_team_semester_mean,3.0386904761904767,3.0386904761904767,1.0,14,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T2,global,,all_team_semester_mean,3.0297619047619047,3.0386904761904767,0.997061704211557,14,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T3,global,,all_team_semester_mean,3.547619047619048,3.0386904761904767,1.167482859941234,14,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T1,semester,2025.2,semester_mean,2.9305555555555554,2.9305555555555554,1.0,9,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T2,semester,2025.2,semester_mean,3.1944444444444446,2.9305555555555554,1.090047393364929,9,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T3,semester,2025.2,semester_mean,3.462962962962963,2.9305555555555554,1.1816745655608214,9,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T1,semester,2026.1,semester_mean,3.2333333333333334,3.2333333333333334,1.0,5,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T2,semester,2026.1,semester_mean,2.7333333333333334,3.2333333333333334,0.845360824742268,5,relative_to_t1_baseline
temporal_escalation_panel,project_progress,Perceived project progress,evaluator_outcome_metrics,T3,semester,2026.1,semester_mean,3.7,3.2333333333333334,1.1443298969072164,5,relative_to_t1_baseline
