Semestre,temporal_marker,ai_dependency_composite_mean,n_question_families_available
2025.2,T1,1.210144927536232,6
2025.2,T2,1.3008130081300815,6
2025.2,T3,1.2833333333333334,6
2026.1,T1,1.1590909090909092,6
2026.1,T2,1.3083333333333333,6
2026.1,T3,1.3240740740740742,6
