analysis_id,predictor,outcome,n,spearman_rho,spearman_p_exploratory
baseline_eligible_only,pi_file_count_t1,clean_rework_ratio_t3,12,-0.031916699728542886,0.921561581518955
baseline_eligible_only,planning_scope_log1p_t1,clean_rework_ratio_t3,12,-0.06007217153221088,0.8528751447991527
