Semestre,ID_Equipe,window_end_day,clean_churn_7d,unique_clean_file_n_7d,clean_file_event_n_7d,measurement_status,tier,evaluator_score_t3,planning_artifact_present_t1,planning_scope_log1p_t1,team_window_clean_churn_total,team_window_clean_churn_share_pct
2025.2,TEAM_04,-3,2046.0,30,34,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,11.348383160463698
2025.2,TEAM_04,-2,1470.0,19,21,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,8.153530423207055
2025.2,TEAM_04,-1,1470.0,19,21,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,8.153530423207055
2025.2,TEAM_04,0,10971.0,94,106,available,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,18029.0,60.85196072993511
2026.1,TEAM_04,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,0.0
2026.1,TEAM_04,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,0.0
2026.1,TEAM_04,-4,5047.0,55,59,available,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,9.337477567482562
2026.1,TEAM_04,-3,5047.0,55,59,available,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,9.337477567482562
2026.1,TEAM_04,-2,5047.0,55,59,available,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,9.337477567482562
2026.1,TEAM_04,-1,19441.0,151,245,available,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,35.96788218534347
2026.1,TEAM_04,0,19469.0,151,246,available,Lower evaluator score / weaker planning,1.9583333333333333,True,4.382026634673881,54051.0,36.01968511220884
2025.2,TEAM_05,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,-4,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,-3,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,-2,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,-1,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,0.0
2025.2,TEAM_05,0,2482.0,28,28,available,Lower evaluator score / weaker planning,2.28125,False,0.0,2482.0,100.0
2026.1,TEAM_05,-6,1689.0,14,23,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,13.558641727542748
2026.1,TEAM_05,-5,1689.0,14,23,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,13.558641727542748
2026.1,TEAM_05,-4,1689.0,14,23,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,13.558641727542748
2026.1,TEAM_05,-3,1689.0,14,23,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,13.558641727542748
2026.1,TEAM_05,-2,1689.0,14,23,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,13.558641727542748
2026.1,TEAM_05,-1,1758.0,15,26,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,14.1125471622381
2026.1,TEAM_05,0,2254.0,18,31,available,Lower evaluator score / weaker planning,2.291666666666667,True,5.407171771460119,12457.0,18.094244200048166
2025.2,TEAM_07,-6,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,0.0
2025.2,TEAM_07,-5,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,0.0
2025.2,TEAM_07,-4,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,0.0
2025.2,TEAM_07,-3,0.0,0,0,no_clean_change_observed,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,0.0
2025.2,TEAM_07,-2,662.0,9,10,available,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,21.507472384665366
2025.2,TEAM_07,-1,1208.0,21,27,available,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,39.24626380766732
2025.2,TEAM_07,0,1208.0,21,27,available,High evaluator score + good planning,2.5,True,2.4849066497880004,3078.0,39.24626380766732
2025.2,TEAM_09,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,0.0
2025.2,TEAM_09,-5,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,0.0
2025.2,TEAM_09,-4,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,0.0
2025.2,TEAM_09,-3,1522.0,5,12,available,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,8.04227212681638
2025.2,TEAM_09,-2,1522.0,5,12,available,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,8.04227212681638
2025.2,TEAM_09,-1,6337.0,62,88,available,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,33.48480845442536
2025.2,TEAM_09,0,9544.0,92,201,available,Lower evaluator score / weaker planning,2.2083333333333335,True,1.0986122886681096,18925.0,50.430647291941874
2025.2,TEAM_10,-6,0.0,0,0,no_clean_change_observed,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,0.0
2025.2,TEAM_10,-5,601.0,4,4,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,12.409663431757176
2025.2,TEAM_10,-4,601.0,4,4,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,12.409663431757176
2025.2,TEAM_10,-3,601.0,4,4,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,12.409663431757176
2025.2,TEAM_10,-2,601.0,4,4,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,12.409663431757176
2025.2,TEAM_10,-1,601.0,4,4,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,12.409663431757176
2025.2,TEAM_10,0,1838.0,14,18,available,Lower evaluator score / weaker planning,2.4375,False,0.0,4843.0,37.95168284121412
