Semestre,pi_file_count_t1,delta_dt_t1_t3
2025.2,4,-0.125
2026.1,1,0.5
2025.2,0,-0.08333333333333326
2026.1,5,0.0
2025.2,0,0.0
2026.1,7,0.33333333333333326
2025.2,8,0.375
2026.1,3,0.5
2025.2,0,0.125
2026.1,4,-0.16666666666666674
2025.2,3,0.125
2025.2,0,0.08333333333333326
2025.2,1,0.29166666666666674
2025.2,0,1.0
