Semestre,pi_file_count_t1
2025.2,4
2026.1,1
2025.2,0
2026.1,5
2025.2,0
2026.1,7
2025.2,8
2026.1,3
2025.2,0
2026.1,4
2025.2,3
2025.2,0
2025.2,1
2025.2,0
