tier,window_end_day,team_semester_n,mean_team_window_commit_share_pct,median_team_window_commit_share_pct,ci95_lower,ci95_upper
High evaluator score + good planning,-6,4,1.2096774193548387,0.0,0.0,3.629032258064516
High evaluator score + good planning,-5,4,2.1222410865874366,1.6129032258064515,0.0,4.244482173174873
High evaluator score + good planning,-4,4,2.1222410865874366,1.6129032258064515,0.0,4.244482173174873
High evaluator score + good planning,-3,4,3.735144312393888,2.6315789473684212,0.0,7.470288624787777
High evaluator score + good planning,-2,4,9.217600452744765,10.101867572156198,2.6315789473684212,14.91935483870968
High evaluator score + good planning,-1,4,20.048104131295982,23.429541595925297,6.451612903225806,30.263157894736842
High evaluator score + good planning,0,4,61.54499151103565,51.315789473684205,45.81918505942275,87.5
Lower evaluator score / weaker planning,-6,10,3.2153674066425744,0.0,0.0,6.430734813285149
Lower evaluator score / weaker planning,-5,10,4.241008432283601,0.0,0.8948545861297539,7.556358630184133
Lower evaluator score / weaker planning,-4,10,5.764466098778179,4.166666666666667,2.0,9.585297549905347
Lower evaluator score / weaker planning,-3,10,6.319710630532779,6.114718614718615,2.677082425404573,9.997645953738653
Lower evaluator score / weaker planning,-2,10,6.172145667531574,6.114718614718615,2.604166666666667,9.744585699535364
Lower evaluator score / weaker planning,-1,10,14.904336947541646,15.343744622268112,7.202948058652757,22.6511329891678
Lower evaluator score / weaker planning,0,10,59.382964816689665,59.72222222222223,40.66641000684625,79.03847874720353
